GeneID	SystemCode	Label	Head	Remarks	MAPPName
1424441_at	X	Slc27a4			PPAR-Alpha_Targets.MAPP
1449112_at	X	Slc27a5			PPAR-Alpha_Targets.MAPP
1423166_at	X	Cd36			PPAR-Alpha_Targets.MAPP
1450883_a_at	X	Cd36			PPAR-Alpha_Targets.MAPP
1450884_at	X	Cd36			PPAR-Alpha_Targets.MAPP
LABEL		glycerol metabolism			PPAR-Alpha_Targets.MAPP
1416204_at	X	Gpd1			PPAR-Alpha_Targets.MAPP
1448249_at	X	Gpd1			PPAR-Alpha_Targets.MAPP
1439396_x_at	X	Gpd1			PPAR-Alpha_Targets.MAPP
1459689_at	X	Gpd2			PPAR-Alpha_Targets.MAPP
1428323_at	X	Gpd2			PPAR-Alpha_Targets.MAPP
1428324_at	X	Gpd2			PPAR-Alpha_Targets.MAPP
1452741_s_at	X	Gpd2			PPAR-Alpha_Targets.MAPP
1417434_at	X	Gpd2			PPAR-Alpha_Targets.MAPP
1445242_at	X	Gyk			PPAR-Alpha_Targets.MAPP
1422703_at	X	Gyk			PPAR-Alpha_Targets.MAPP
1422704_at	X	Gyk			PPAR-Alpha_Targets.MAPP
1422008_a_at	X	Aqp3			PPAR-Alpha_Targets.MAPP
1422007_at	X	Aqp3			PPAR-Alpha_Targets.MAPP
1450460_at	X	Aqp3			PPAR-Alpha_Targets.MAPP
1418848_at	X	Aqp7			PPAR-Alpha_Targets.MAPP
LABEL		Lipoprotein metabolism			PPAR-Alpha_Targets.MAPP
1419857_at	X	Apoa1			PPAR-Alpha_Targets.MAPP
1419233_x_at	X	Apoa1			PPAR-Alpha_Targets.MAPP
1419232_a_at	X	Apoa1			PPAR-Alpha_Targets.MAPP
1455201_x_at	X	Apoa1			PPAR-Alpha_Targets.MAPP
1438840_x_at	X	Apoa1			PPAR-Alpha_Targets.MAPP
1415727_at	X	Apoa1bp			PPAR-Alpha_Targets.MAPP
1417950_a_at	X	Apoa2			PPAR-Alpha_Targets.MAPP
1436504_x_at	X	Apoa4			PPAR-Alpha_Targets.MAPP
1417761_at	X	Apoa4			PPAR-Alpha_Targets.MAPP
1417610_at	X	Apoa5			PPAR-Alpha_Targets.MAPP
1455593_at	X	Apob			PPAR-Alpha_Targets.MAPP
1451755_a_at	X	Apobec1			PPAR-Alpha_Targets.MAPP
1417561_at	X	Apoc1			PPAR-Alpha_Targets.MAPP
1418069_at	X	Apoc2			PPAR-Alpha_Targets.MAPP
1418278_at	X	Apoc3			PPAR-Alpha_Targets.MAPP
1418708_at	X	Apoc4			PPAR-Alpha_Targets.MAPP
1432466_a_at	X	Apoe			PPAR-Alpha_Targets.MAPP
1418239_at	X	Apof			PPAR-Alpha_Targets.MAPP
1416677_at	X	Apoh			PPAR-Alpha_Targets.MAPP
1419096_at	X	Apom			PPAR-Alpha_Targets.MAPP
1419095_a_at	X	Apom			PPAR-Alpha_Targets.MAPP
1419869_s_at	X	Hdlbp			PPAR-Alpha_Targets.MAPP
1449615_s_at	X	Hdlbp			PPAR-Alpha_Targets.MAPP
1415988_at	X	Hdlbp			PPAR-Alpha_Targets.MAPP
1415987_at	X	Hdlbp			PPAR-Alpha_Targets.MAPP
1421821_at	X	Ldlr			PPAR-Alpha_Targets.MAPP
1448655_at	X	Lrp1			PPAR-Alpha_Targets.MAPP
1416836_at	X	Lrp10			PPAR-Alpha_Targets.MAPP
1452320_at	X	Lrp2			PPAR-Alpha_Targets.MAPP
1426288_at	X	Lrp4			PPAR-Alpha_Targets.MAPP
1449299_at	X	Lrp5			PPAR-Alpha_Targets.MAPP
1452148_at	X	Lrpap1			PPAR-Alpha_Targets.MAPP
1426696_at	X	Lrpap1			PPAR-Alpha_Targets.MAPP
1426697_at	X	Lrpap1			PPAR-Alpha_Targets.MAPP
1436609_a_at	X	Lrpap1			PPAR-Alpha_Targets.MAPP
1454704_at	X	Scarb2			PPAR-Alpha_Targets.MAPP
1460235_at	X	Scarb2			PPAR-Alpha_Targets.MAPP
1455820_x_at	X	Scarb1			PPAR-Alpha_Targets.MAPP
1437378_x_at	X	Scarb1			PPAR-Alpha_Targets.MAPP
1416050_a_at	X	Scarb1			PPAR-Alpha_Targets.MAPP
1451156_s_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1438258_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1435893_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1442169_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1446194_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1417900_a_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1434465_x_at	X	Vldlr			PPAR-Alpha_Targets.MAPP
1456424_s_at	X	Pltp			PPAR-Alpha_Targets.MAPP
1417963_at	X	Pltp			PPAR-Alpha_Targets.MAPP
1420983_at	X	Pctp			PPAR-Alpha_Targets.MAPP
1420984_at	X	Pctp			PPAR-Alpha_Targets.MAPP
		Cetp			PPAR-Alpha_Targets.MAPP
LABEL		cholesterol synthesis/esterification			PPAR-Alpha_Targets.MAPP
1426744_at	X	Srebf2			PPAR-Alpha_Targets.MAPP
1417980_a_at	X	Insig2			PPAR-Alpha_Targets.MAPP
1454671_at	X	Insig1			PPAR-Alpha_Targets.MAPP
1433444_at	X	Hmgcs1			PPAR-Alpha_Targets.MAPP
1433445_x_at	X	Hmgcs1			PPAR-Alpha_Targets.MAPP
1433446_at	X	Hmgcs1			PPAR-Alpha_Targets.MAPP
1433443_a_at	X	Hmgcs1			PPAR-Alpha_Targets.MAPP
1441536_at	X	Hmgcs1			PPAR-Alpha_Targets.MAPP
1427229_at	X	Hmgcr			PPAR-Alpha_Targets.MAPP
1423804_a_at	X	Idi1			PPAR-Alpha_Targets.MAPP
1451122_at	X	Idi1			PPAR-Alpha_Targets.MAPP
1423418_at	X	Fdps			PPAR-Alpha_Targets.MAPP
1438322_x_at	X	Fdft1			PPAR-Alpha_Targets.MAPP
1448130_at	X	Fdft1			PPAR-Alpha_Targets.MAPP
1459497_at	X	Fdft1			PPAR-Alpha_Targets.MAPP
1416222_at	X	Nsdhl			PPAR-Alpha_Targets.MAPP
1415993_at	X	Sqle			PPAR-Alpha_Targets.MAPP
1423078_a_at	X	Sc4mol			PPAR-Alpha_Targets.MAPP
1437453_s_at	X	Pcsk9			PPAR-Alpha_Targets.MAPP
1417303_at	X	Mvd			PPAR-Alpha_Targets.MAPP
1448663_s_at	X	Mvd			PPAR-Alpha_Targets.MAPP
1427893_a_at	X	Pmvk			PPAR-Alpha_Targets.MAPP
1418052_at	X	Mvk			PPAR-Alpha_Targets.MAPP
1426913_at	X	Lss			PPAR-Alpha_Targets.MAPP
1434520_at	X	Sc5d			PPAR-Alpha_Targets.MAPP
1451457_at	X	Sc5d			PPAR-Alpha_Targets.MAPP
1435630_s_at	X	Acat2			PPAR-Alpha_Targets.MAPP
1418129_at	X	Dhcr24			PPAR-Alpha_Targets.MAPP
1418129_at	X	Dhcr24			PPAR-Alpha_Targets.MAPP
1418130_at	X	Dhcr24			PPAR-Alpha_Targets.MAPP
1442696_at	X	Dhcr7			PPAR-Alpha_Targets.MAPP
1448619_at	X	Dhcr7			PPAR-Alpha_Targets.MAPP
1460722_at	X	Soat2			PPAR-Alpha_Targets.MAPP
1426818_at	X	Soat1			PPAR-Alpha_Targets.MAPP
1418780_at	X	Cyp39a1			PPAR-Alpha_Targets.MAPP
1417043_at	X	Lcat			PPAR-Alpha_Targets.MAPP
1421821_at	X	Ldlr			PPAR-Alpha_Targets.MAPP
		Sterol transport/traficking			PPAR-Alpha_Targets.MAPP
1421839_at	X	Abca1			PPAR-Alpha_Targets.MAPP
1420656_at	X	Abcg8			PPAR-Alpha_Targets.MAPP
1419393_at	X	Abcg5			PPAR-Alpha_Targets.MAPP
