genename	d4207w.CEL	d4208w.CEL	d4209w.CEL	d4210w.CEL	d4211w.CEL	d4212w.CEL	d4213w.CEL	d4214w.CEL	d4215w.CEL	d4216w.CEL	d4217w.CEL	d4218w.CEL	d4219w.CEL	d4220w.CEL	d4221w.CEL	d4222w.CEL	d4223w.CEL
AA684537_at	7.647232674	7.0807019	7.424218083	6.986835163	7.423584708	7.119998335	7.300670478	7.266244725	7.111882928	6.898734524	7.007892516	6.755848179	7.328734898	7.165248461	7.361172234	7.073901219	6.954184323
AA684929_f_at	2.556069069	2.530942466	2.57080887	2.555400069	2.704169141	2.621799086	2.606233305	2.60535567	2.659383106	2.633916119	2.683357383	2.630397348	2.636036426	2.758170681	2.682806592	2.559204694	2.658322907
AA684960_f_at	2.535709365	2.601260792	2.521050744	2.53093022	2.851143517	2.631807089	2.649018666	2.566581431	2.620514589	2.597106811	2.61477621	2.61925971	2.586382572	2.625048247	2.618908499	2.451744484	2.615636263
AA684963_at	8.822888774	8.299583641	8.74123096	8.917504358	8.814564346	8.723981138	8.53161838	8.414447194	8.481196041	8.511615734	8.530864164	8.251511822	8.679096806	8.095208923	8.175436553	8.257016076	8.390703067
AA685112_at	7.913362536	7.0221324	8.033809377	7.61499467	7.440187069	7.584160175	7.076900999	7.260136663	7.255292811	7.517783082	7.107426892	6.871224963	7.587294206	6.137363862	6.881214122	7.145379891	7.093055419
AA685152_r_at	4.520331542	4.58315059	4.489204525	3.859517172	4.929080587	4.591658177	4.590328852	4.62183039	4.921901835	4.758767278	4.655990484	3.880713256	4.671088561	5.217748144	4.772837391	4.515727097	4.619199185
AA685376_f_at	2.429829963	2.412861342	2.435074544	2.428013227	2.526822424	2.48741753	2.479078705	2.46810278	2.52544177	2.500123409	2.512806236	2.520763738	2.529645351	2.527253948	2.527792598	2.448202295	2.521648479
AA685876_at	2.810461549	2.831104717	2.821382176	2.767449975	2.910878913	2.839218982	3.363453532	2.850315063	2.870568534	3.164022224	2.871604302	2.871602461	2.848584546	2.878754793	2.882885433	2.818669838	2.869356764
AA685903_at	8.758203444	6.870778042	8.89109974	7.629661147	5.883570331	8.530527272	5.958775631	6.99084841	7.41733077	7.187136121	6.182245563	7.236803085	7.797876148	3.855780583	6.752551889	6.113247581	7.325527682
AA686031_at	5.042030995	4.199463791	4.706904159	4.132708139	4.424317947	4.739313274	4.317044394	4.203812012	4.904149861	4.603119294	4.106092077	4.247404515	4.31645907	4.190342657	4.217329469	4.057466204	4.194050216
