Ensembl Gene ID	Associated Gene Name
T05F1.10	dhs-4
Y92H12BR.7	Y92H12BR.7
Y26D4A.8	Y26D4A.8
K09H9.5	K09H9.5
W01A8.4	W01A8.4
F35E2.9	F35E2.9
T27F6.10	T27F6.10
ZK993.2	ZK993.2
C49G9.1	C49G9.1
F46F11.6	F46F11.6
F56C11.2	ptr-11
R06A10.4	R06A10.4
F46A8.8	F46A8.8
R05D7.2	R05D7.2
F15D3.1	dys-1
K11B4.2	K11B4.2
C50F2.1	C50F2.1
R119.2	R119.2
W02D3.1	W02D3.1
M01E5.3	M01E5.3
K06A5.6	K06A5.6
C49A1.6	clec-115
Y105E8A.16	rps-20
Y71F9B.16	dnj-30
T22E7.2	T22E7.2
F39B2.11	mtx-1
C47F8.8	nhr-81
C25A1.9	rsa-1
Y37E3.4	Y37E3.4
Y54E5A.6	Y54E5A.6
DY3.6	mfb-1
F13G3.6	F13G3.6
C06A5.6	C06A5.6
F55D12.4	unc-55
F54C1.6	F54C1.6
Y23H5B.7	Y23H5B.7
R12E2.3	rpn-8
F10G8.4	eak-6
Y52B11A.9	Y52B11A.9
C47B2.7	selb-1
Y44E3A.3	Y44E3A.3
E03H4.10	clec-17
F26E4.8	tba-1
T09B4.8	T09B4.8
Y71A12B.2	Y71A12B.2
Y76G2A.1	Y76G2A.1
C04F12.3	ikb-1
Y105E8A.24	Y105E8A.24
F32H2.7	F32H2.7
T28F2.6	col-50
K02A11.1	gfi-2
Y51F10.4	Y51F10.4
C41D11.8	cps-6
B0379.7	B0379.7
R06C7.3	dhp-1
C54G4.6	dod-18
C47F8.1	C47F8.1
W06D4.1	hgo-1
F26B1.7	let-381
F14B4.2	F14B4.2
Y20F4.4	Y20F4.4
T27A3.5	T27A3.5
ZK265.3	ZK265.3
W09G3.2	W09G3.2
F56A3.5	bro-1
Y26D4A.5	Y26D4A.5
F27C1.1	F27C1.1
Y48G1A.1	Y48G1A.1
Y34D9A.6	glrx-10
C32E8.10	unc-11
T06A4.1	T06A4.1
M01E5.5	top-1
R09B3.5	mag-1
F27C1.8	dpy-5
Y54E10BR.4	Y54E10BR.4
W08E3.1	snr-2
Y95D11A.1	Y95D11A.1
K10D3.1	glr-3
F26E4.11	hrdl-1
T27F6.8	T27F6.8
Y71A12B.12	Y71A12B.12
C36B1.4	pas-4
D1007.9	D1007.9
C26C6.8	C26C6.8
Y52B11A.1	spe-38
E01A2.6	E01A2.6
F45H11.6	F45H11.6
F56H6.9	F56H6.9
Y65B4BR.5	Y65B4BR.5
T23G11.4	T23G11.4
F23C8.11	F23C8.11
C10G11.10	C10G11.10
C55B7.5	uri-1
Y54E10A.4	fog-1
T26E3.4	T26E3.4
T12F5.4	lin-59
Y48G1BL.6	Y48G1BL.6
